Id;FirmenNr;HaeuserNr;ETRS_UTM33N_X;ETRS_UTM33N_Y;Firma;Vorlage;FlurstuecksNr;BrandkatasterNr;Hausname;HausNr;Strasse;Strassenteil;Stadtteil;Gewerbename;Gewerbetyp;STR_NAME_2018;HNR_2018;PLZ_2018;FLURSTUECKSNR_2018;SBZ_NR_2018;SBZ_NAME_2018;OT_NR_2018;OT_NAME_2018;
1741;1382;912;316922.534;5688040.924;Koenigs Bogenanleger;Koenigs Bogenanleger;452i;177J;;78;Südstraße;73 - 127 und 74 bis Ende;Connewitz;Maschinenfabrik;Polygraphischer Maschinenbau;Karl-Liebknecht-Straße;0;04277;452/1;4;Süd;41;Connewitz;
1742;1383;913;319940.67669999896;5690130.7214;Karl Krause;Karl Krause, Inh.: Heinr. Biagosch, Frau Anna, Karl u. Curt Biagosch;27;25;;59;Zweinaundorfer Straße;;Anger-Crottendorf;Maschinenfabrik;Polygraphischer Maschinenbau;Zweinaundorfer Straße;59;04318;27/16;2;Ost;22;Anger-Crottendorf;
1743;1384;914;318636.842;5691414.049;C. L. Lasch & Co.;C. L. Lasch & Co., Inh.: Hugo Schönherr;608g;114F;;10;Lutherstraße;;Reudnitz;Drahtheft-Maschinenfabrik;Polygraphischer Maschinenbau;Lutherstraße;0;04315;608/9;2;Ost;20;Neustadt-Neuschönefeld;
1744;1385;915;317810.31899999996;5689293.464;Leipziger Schnellpressenfabrik, Aktien-Gesellschaft, vorm. Schmiers, Werner & Stein;Leipziger Schnellpressenfabrik, Aktien-Gesellschaft, vormals Schmiers,Werner & Stein;2461/2461c/2461e/2461d;12/13/13C/13D;;19/21;Dösner Weg;;Alt-Leipzig;Maschinenfabrik;Polygraphischer Maschinenbau;Dösner Weg;0;04103;4683, 4684, 4768;0;Mitte;2;Zentrum-Südost;
1745;1386;916;319078.394;5689789.232000001;Chn. Mansfeld;Chn. Mansfeld, Inh.: Gustav u. Hugo Mansfeld;304/305/303a;123/122/122B;;15/19;Mühlstraße;;Reudnitz;Maschinenfabrik;Polygraphischer Maschinenbau;Mühlstraße;0;04317;304/1 und 305;3;Südost;30;Reudnitz-Thonberg;
1746;1387;917;320175.251;5688092.7059;Mittmann, Curt;Mittmann, Curt, Ingenieur;325d;379;;21;Thiemstraße;;Stötteritz;;Polygraphischer Maschinenbau;Thiemstraße;21;04299;325d;3;Südost;31;Stötteritz;
1747;1388;918;320132.5537;5690053.29099999;Peusse & Co.;Preusse & Co.;152;2B;;64;Zweinaundorfer Straße;;Anger-Crottendorf;Maschinenfabrik;Polygraphischer Maschinenbau;Zweinaundorfer Straße;70;04318;152/1;2;Ost;22;Anger-Crottendorf;
1748;1389;919;317393.9396;5687581.96869999;G. E. Reinhardt;G. E. Reinhardt, Inh.: Edm. Reinhardt;458m;538;;19;Waisenhausstraße;;Connewitz;Buchdruck-, Metallutensilien u. Maschinenfabrik;Polygraphischer Maschinenbau;Arno-Nitzsche-Straße;19;04277;458m;4;Süd;41;Connewitz;
1749;1390;920;320301.535;5690115.658;Wilhelm Scheibe;Wilhelm Scheibe, Inh.: Kurt u. Paul Scheibe;151x;1F;;10;Wörthstraße;;Anger-Crottendorf;Maschinenfabrik;Polygraphischer Maschinenbau;Wichernstraße;0;04318;151x;2;Ost;22;Anger-Crottendorf;
1750;1393;922;313699.744;5689365.33;Walterwerke Maschinenfabrik m.b.H.;Walterwerke Maschinenfabrik m.b.H.;302v;122B/1;;29b;Markranstädter Straße;;Kleinzschocher;Maschinenfabrik;Polygraphischer Maschinenbau;Markranstädter Straße;29b;04229;302v;5;Südwest;51;Plagwitz;
1751;1394;923;313548.967;5690019.73269999;Drahtheftmaschinen-Fabrik Wilh. Mallien;Drahtheftmaschinen-Fabrik Wilh. Mallien;788a;889;;64;Kaiserstraße;;Lindenau;Maschinenfabrik;Polygraphischer Maschinenbau;Endersstraße;64;04177;788/7;7;Alt-West;70;Lindenau;
1752;1395;924;318717.8617;5691532.0611;Boehme, Rudolph;Rudolph Böhme, Vertretung in Lpz. von Maschinenfabrik Augsburg-Nürnberg;1861;244;;15;Eisenbahnstraße;1 - 79;Neustadt;Maschinenfabrik;Polygraphischer Maschinenbau;Eisenbahnstraße;15;04315;186l;2;Ost;20;Neustadt-Neuschönefeld;
1753;1396;925;317965.0678;5690484.7322;Leipziger Tangier-Manier, Alexander Grube;Leipziger Tangier-Manier, Alexander Grube;1446c;803;;4;Täubchenweg;1 - 15 und 2 - 4;Alt-Leipzig;Maschinenfabrik (Buchdruckschnellpressen u. Hilfsmaschinen);Polygraphischer Maschinenbau;Talstraße;4;04103;1446c;0;Mitte;2;Zentrum-Südost;
1754;1397;926;318896.2253;5691176.5995;A. Wetzig;A. Wetzig;594d;78C;;6;Elsastraße;;Reudnitz;Agenturgesch., Vertr. f. Buchbinderei-Masch;Polygraphischer Maschinenbau;Elsastraße;6;04315;594d;2;Ost;20;Neustadt-Neuschönefeld;
1755;1398;927;319281.2153;5690211.403;Bartsch, Alfred;Alfred Bartsch;415c;203;;6;Charlottenstraße;;Reudnitz;Lithographische Anstalt;Graphische Anstalt;Charlottenstraße;6;04317;415c;3;Südost;30;Reudnitz-Thonberg;
1756;1400;928;318910.4182;5691570.114;Becker & Naumann;Becker & Naumann;2p;221;;16;Ludwigstraße;1 - 79 und 2 - 68;Neustadt;Lithographische Anstalt;Graphische Anstalt;Ludwigstraße;16;04315;2p;2;Ost;20;Neustadt-Neuschönefeld;
1757;1401;929;319291.6918;5690829.5743;Max Bergmann;Max Bergmann;555b;1H;;21;Lilienstraße;;Reudnitz;Lithographische Kunstanstalt;Graphische Anstalt;Lilienstraße;21;04315;555b;2;Ost;20;Neustadt-Neuschönefeld;
1758;1402;930;316975.9122;5688882.85969999;Borrmann, Oscar;Borrmann, Oscar, Privatlithogr.;2513p;14;;20;Südstraße;1 - 71 und 2 - 72;Alt-Leipzig;Lithographische Anstalt;Graphische Anstalt;Karl-Liebknecht-Straße;76;04275;2513p;4;Süd;40;Südvorstadt;
1759;1403;931;318825.54449999897;5691109.59459999;Max Brüggemann;Brüggemann, Max;175a;185;;28;Kohlgartenstraße;1 - 71 und 16 - 58;Reudnitz;Lithographische Anstalt;Graphische Anstalt;Kohlgartenstraße;28;04315;175a;2;Ost;20;Neustadt-Neuschönefeld;
1760;1404;932;316831.33;5688695.52769999;Hans Bruhn;Bruhn, Hans;3128;58D;;40;Kochstraße;1 - 67 und 2 - 80;Alt-Leipzig;Lithographische Anstalt;Graphische Anstalt;Kochstraße;40;04275;3128;4;Süd;40;Südvorstadt;
