Id;FirmenNr;HaeuserNr;ETRS_UTM33N_X;ETRS_UTM33N_Y;Firma;Vorlage;FlurstuecksNr;BrandkatasterNr;Hausname;HausNr;Strasse;Strassenteil;Stadtteil;Gewerbename;Gewerbetyp;STR_NAME_2018;HNR_2018;PLZ_2018;FLURSTUECKSNR_2018;SBZ_NR_2018;SBZ_NAME_2018;OT_NR_2018;OT_NAME_2018;Unnamed: 23
297;297;185.0;318644.42;5690585.956;Otto Tobies;Otto Tobies, Inh.: Otto Tobies (Frankfurt a. M.);276a;297B;;2a;Frommannstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;0;4317.0;276a;3.0;Südost;30.0;Reudnitz-Thonberg;
298;299;185.0;318644.42;5690585.956;E. F. Steinacker;E. F. Steinacker, Inh.: Rich. Einhorn, Bruno Jäger u. Karl Franz Koehler;276a;297B;;2a;Frommannstraße;;Reudnitz;Kommissionsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;0;4317.0;276a;3.0;Südost;30.0;Reudnitz-Thonberg;
299;303;185.0;318644.42;5690585.956;Eduard Heinrich Mayer;Eduard Heinrich Mayer, Inh.: Rich. Einhorn u. Bruno Jäger;276a;297B;;2a;Frommannstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;0;4317.0;276a;3.0;Südost;30.0;Reudnitz-Thonberg;
300;304;185.0;318644.42;5690585.956;Historisch Politischer Verlag Rudolf Hofstetter;Historisch Politischer Verlag Rudolf Hofstetter, Inh.in: Ottilie Hofstetter (Halle a. S.);276a;297B;;2a;Frommannstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;0;4317.0;276a;3.0;Südost;30.0;Reudnitz-Thonberg;
301;305;185.0;318644.42;5690585.956;C. L. Hirschfeld;C. L. Hirschfeld, Inh.: Dr. Walter Kohlhammer u. Dr. Eugen Görlach (Stuttgart);276a;297B;;2a;Frommannstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;0;4317.0;276a;3.0;Südost;30.0;Reudnitz-Thonberg;
302;306;185.0;318644.42;5690585.956;A. Hartleben;A. Hartleben, Inh.: Woldemar Eugen Marx (Wien);276a;297B;;2a;Frommannstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;0;4317.0;276a;3.0;Südost;30.0;Reudnitz-Thonberg;
303;1607;185.0;318644.42;5690585.956;Adolph Fürstner;Adolph Fürstner, Inh.in: Ww Clara Fürstner (Berlin);276a;297B;;2a;Frommannstraße;;Reudnitz;Musikverlag;Buchhandel und Verlagswesen;Frommannstraße;0;4317.0;276a;3.0;Südost;30.0;Reudnitz-Thonberg;
304;40;186.0;318696.807;5690577.225;Rost, Senf & Co.;Rost, Senf & Co., Inh.: Volkm. Qapitzsch u. Max Mertig;274y;297E;;4;Frommannstraße;;Reudnitz;Großbuchbinderei;Buchbinderhandwerk;Frommannstraße;0;4317.0;274y;3.0;Südost;30.0;Reudnitz-Thonberg;
305;301;186.0;318696.807;5690577.225;Roßberg'sche Verlagsbuchhandlung, Arthur Roßberg;Roßberg'sche Verlagsbuchhandlung, Arthur Roßberg;274y;297E;;4;Frommannstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;0;4317.0;274y;3.0;Südost;30.0;Reudnitz-Thonberg;
306;964;186.0;318696.807;5690577.225;Roßberg'sche Buchdruckerei;Roßberg'sche Buchdruckerei, Inh.: Alex. Roßberg;274y;297E;;4;Frommannstraße;;Reudnitz;Buchdruckerei;Druckerei und Buchhandel;Frommannstraße;0;4317.0;274y;3.0;Südost;30.0;Reudnitz-Thonberg;
307;1177;186.0;318696.807;5690577.225;Gustav Wießner;Gustav Wießner;274y;297E;;4;Frommannstraße;;Reudnitz;Stereotypie-Anstalt;Graphische Anstalt;Frommannstraße;0;4317.0;274y;3.0;Südost;30.0;Reudnitz-Thonberg;
308;1177;186.0;318696.807;5690577.225;Gustav Wießner;Gustav Wießner;274y;297E;;4;Frommannstraße;;Reudnitz;Galvanoplastik;Graphische Anstalt;Frommannstraße;0;4317.0;274y;3.0;Südost;30.0;Reudnitz-Thonberg;
309;1702;186.0;318696.807;5690577.225;Fr. Adam Seidel;Fr. Adam Seidel, Inh. Phil. Seidel u. Herm. Moeller;274y;297E;;4;Frommannstraße;;Reudnitz;Papier-Engrosgeschäft;Papierhandlung/Papierherstellung;Frommannstraße;0;4317.0;274y;3.0;Südost;30.0;Reudnitz-Thonberg;
310;300;187.0;318701.83249999897;5690596.02209999;C. Otto Schmidt;C. Otto Schmidt;274o;516;;5;Frommannstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;5;4317.0;274o;3.0;Südost;30.0;Reudnitz-Thonberg;
311;302;187.0;318701.83249999897;5690596.02209999;Reichenbach'sche Verlagsbuchhandlung Hans Wehner;Reichenbach'sche Verlagsbuchhandlung Hans Wehner;274o;516;;5;Frommannstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;5;4317.0;274o;3.0;Südost;30.0;Reudnitz-Thonberg;
312;1719;187.0;318701.83249999897;5690596.02209999;Rudolf Kober;Rudolf Kober, Vertr. v. Papierfabriken, Inh. Walter Stiebritz;274o;516;;5;Frommannstraße;;Reudnitz;Gold- u, Silberpapier;Papierhandlung/Papierherstellung;Frommannstraße;5;4317.0;274o;3.0;Südost;30.0;Reudnitz-Thonberg;
313;39;188.0;318727.593799999;5690571.53739999;Gebr. Hoffmann;Gebr. Hoffmann, Inh.: Otto Hoffmann;735;297F;;6;Frommannstraße;;Reudnitz;Buchbinderei;Buchbinderhandwerk;Frommannstraße;6;4317.0;735;3.0;Südost;30.0;Reudnitz-Thonberg;
314;298;188.0;318727.593799999;5690571.53739999;F. Stoll jr.;F. Stoll jr., Herausgabe d. Illustrierten Zeitung für Blechindustrie, Inh.: Ww. Helene Wilhelmy u. Eugen Strobel;735;297F;;6;Frommannstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Frommannstraße;6;4317.0;735;3.0;Südost;30.0;Reudnitz-Thonberg;
