Id;Firma;idn
695;F. E Wachsmuth;[]
696;E. P. Berger;[]
697;Hermann Crusius;['1072957647', '16047858-3']
698;Carl Flicke;[]
699;Adolf Klauß & Co.;[]
700;Ludwig Wagner;['1072891204', '3048922-2', '2030614-3']
701;Papierfabrik Sacrau G.m.b.H.;[]
702;Richard Nendel;['1073010139']
703;Fr. Wilh. Grunow;[]
704;Carl Marquart;['1072959712']
705;Gustav A. Rietzschel;[]
706;J. F. Fischer;[]
707;Robert König;['1072960486']
708;Hilbert & Co.;[]
709;Verlag für Kunst u. Wissenschaft, Albert Otto Paul;[]
710;Quelle und Meyer;['83758-1', '1092088288']
711;Erwin Nägele;[]
712;Buchdruckerei Gutenberg Albert Paul;['1136055525']
713;Gustav Brauns;['1072979926']
714;Louis Glaser;['1067260870']
715;Louis Glaser;[]
716;Louis Glaser;['1067260870']
717;Franz Böhlau;[]
718;A. Mehnert;[]
719;Siegbert Schnurpfeil Nachf.;[]
720;Siegbert Schnurpfeil Nachf.;[]
721;H. Becker;['1072946904']
722;Bruno Meerboth;[]
723;R. Göschel;[]
724;Edmund Demme;['6121178-3']
725;H. Schötz;[]
726;Richard Schmidt;[]
727;Wilhelm Dobers;[]
728;J. A. Gutzschebauch;[]
729;J. A. Gutzschebauch;[]
730;Hugo Lorenz;['1073063410']
731;Bernh. Liebisch;['236132-2', '1073005232', '5320583-2']
732;Ernst Wiegandt;['1073071545']
733;Alfred Lorentz;['1072954907', '511918-2', '1088112188']
734;Alfred Lorentz;['1072954907', '511918-2', '1088112188']
735;Bär & Hermann;[]
736;Bär & Hermann;[]
737;Woerl's Reisebücherverlag;[]
738;Carl Pohl;[]
739;Rudolf Uhlig;[]
740;C. Moschinsky;[]
741;Max Todt;[]
742;Hermann Heuschel;[]
743;Insel Verlag, G.m.b.H.;[]
744;Schaumburg-Fleischer's Verlag;[]
745;F. E. Fischer;[]
746;Felix Meiner;['5020777-5', '1086218280']
747;Gustav Klötzsch;['1072926377']
748;E. Richter;[]
749;A. Bogen;[]
750;H. Klippgen;[]
751;R. Gerhold's Gravieranstalt;[]
752;Max von Criegern;[]
753;A. Schwieck;['1073089452']
754;Frankenstein, Wagner & Co.;[]
755;Frankenstein & Wagner;[]
756;Frankenstein & Wagner;[]
757;Frankenstein & Wagner;[]
758;Heinrich Blömer;['1072943832']
759;Max Toller;[]
760;Hugo Krötzsch & Co.;[]
761;Otto Regel;['3017332-2']
762;Otto Regel;['3017332-2']
763;Otto Regel;['3017332-2']
764;Günther, Kirstein & Wendler;[]
765;Günther, Kirstein & Wendler;[]
766;Schriftgießerei Heinr. Hoffmeister;[]
767;Jagenberg, Ferd. Emil, Fil. Leipzig;[]
768;Jagenberg, Ferd. Emil, Fil. Leipzig;[]
769;R. Walther's Verlag;[]
770;E. O. Jahn;[]
771;Jahn & Sohn;[]
772;Jul. Herm. Müller;[]
773;Gebr. Koch;[]
774;M. Hauptvogel Nachf. Buchhandlung & Antiquariat;[]
775;Karl Max Poppe;['5117750-X']
776;A. Hafemann sen.;[]
777;Raimund Gerhard;['1072994755']
778;Antiquariat Carl Köhler;['107578204X']
779;Dr. Werner Klinkhardt;['1072926113', '10006252-0']
780;Klinkhardt & Biermann, Buch- und Kunstverlag;[]
781;G. A. Gloeckner;[]
782;Julius Klinkhardt;['1073019519', '10118210-7', '5524171-2', '2016917-6']
783;Grütter & Co.;[]
784;Krüger & Co.;[]
785;E. G. Böhme;[]
786;Oswald Wolf;[]
787;Oswald Mutze;['1072984350']
788;Oswald Mutze;['1072984350']
789;C. F. W. Fest;[]
790;Bernhard Meyberth;[]
791;Theodor Rother;['1073012034']
792;Julius Drescher;['1072973278', '1072936828']
793;A. H. Fiedler;[]
794;C. F. Teich;[]
795;Otto Teich;['1073069923', '301334-0']
796;Carl A. Fischer;[]
797;Esperanto - Propaganda Instituto Karl Steier;[]
798;Mahla & Graeser;[]
799;Franz Winter;['1160091722']
800;Karl Fr. Pfau;[]
801;Excelsior-Verlag Elisabeth Pfau;[]
802;Alfred Langkammer;['1072937727']
803;Ackermann & Glaser;[]
804;H. B. Albrecht;[]
805;H. B. Albrecht;[]
806;H. Müller;[]
807;Arthur Ronniger;[]
808;Rob. Claußner's Verlag;[]
809;Albert Bonnier;['1072953722', '31430-4']
810;P. M. Blüher;[]
811;Johannes Barbe;[]
812;Johannes Barbe;[]
813;Johannes Barbe;[]
814;P. Schmidt;[]
815;Adolf Henze's Verlag;[]
816;C. Sprung;[]
817;Heinrich Jüttner;[]
818;"Verlag ""Fürs Heim"" G.m.b.H.";[]
819;O. Kögler;[]
820;Th. Seeburg;[]
821;H. Salzmann;[]
822;J. Seeburg;[]
823;Gebrüder Kühn;[]
824;O. Theil;[]
825;Leipziger Zinkdruckplatten-Fabrik, Curt Preußner & Co.;[]
826;Jachner & Fischer;[]
827;Johannes Haupt;[]
828;W. Albert Hafemann;[]
829;Oswald, Alfred;[]
830;W. Albert Hafemann;[]
831;Georg Rößler;[]
832;Hermann Zieger;['1072903679']
833;Friedrich Pfeilstücker;['1073003337']
834;Junghanß & Koritzer;[]
835;Internationaler Kunst-Verlag, M. Bauer & Co.;[]
836;Franz Dietrich;['1072969912']
837;Franz Dietrich;['1072969912']
838;Akademische Verlagsgesellschaft mbH;[]
839;W. Besser;[]
840;Kunstheim Katharinenhof;[]
841;O. Kießler;[]
842;Contag & Co.;[]
843;Heinrich Matthes;['1073067084', '1072953226']
844;Otto Kopsch;[]
845;J. Rotter;[]
846;Max Reichardt;[]
847;Anna Günther;[]
848;Herm. Kallenberg;[]
849;Paul Winter;[]
850;P. Müller;[]
851;Friedrich Zocher;[]
852;A. Theuerkorn;[]
853;Brandt & Co.;[]
854;Brandt & Co.;[]
855;Erwin Findel;[]
856;R. Weinert;[]
857;J. G.Findel;[]
858;W. Teicher;[]
859;Hugo Kuntze;[]
860;Lydia Botze;[]
861;Nationale Kanzlei G.m.b.H.;[]
862;Lipsia-Versandbuchhandlung Martha Rudolph & Co.;[]
863;Leipziger Verlags- und Kommissions-Buchhandlung Baß & Co.;[]
864;Cornelia-Verlag G.m.b.H.;[]
865;Verlag Frauenfortbildung G.m.b.H.;[]
866;Serig'sche Buchhandlung;['5165665-6']
867;C. E. Schilling;[]
868;Otto Kuhn;['1073030059']
869;Friedrich Krause;[]
870;Max Lange;[]
871;F. Lindemann;[]
872;Albert Haferkorn & Co.;[]
873;Albert Haferkorn & Co.;[]
874;Carl W. Bühligen;[]
875;Karl Wagner & Co.;[]
876;Karl Wagner & Co.;[]
877;Eduard Pfeiffer, Buchhandlung;[]
878;F. Rochau;[]
879;Dyksche Buchhandlung;['6147579-8']
880;Hugo Hentsch;[]
881;Hugo Hentsch;[]
882;Hugo Hentsch;[]
883;Hugo Voigt, Buchhandlung für Landwirtschaft, Gartenbau u. Forstwesen (Georg Riemeyer);[]
884;Justus Naumann's Sortiment Fr. Jansa;[]
885;Akademische Buchhandlung Fr. Jansa;[]
886;Otto Nuschke;[]
887;Leipziger Kunst-Anstalt für Hand-Kolorit, Otto Nuschke;[]
888;J. Zürn;[]
889;Josef Hirsch;[]
890;H. R. Braun;[]
891;Zeitbilder Verlag Albert Krug;[]
892;Aug. Jul. Krug;[]
893;Eugen Twietmeyer;['1072882191', '1073089916', '1073090388']
894;Seemann & Co.;[]
895;Gilbers'sche Verlagsbuchhandlung, Eugen Twietmeyer;['1072882191', '1073089916']
896;G. Hedeler;['107291395X']
897;Wihelm Hedeler;[]
898;Giesecke & Devrient;[]
899;Giesecke & Devrient;[]
900;Giesecke & Devrient;[]
901;Giesecke & Devrient;[]
902;Giesecke & Devrient;[]
903;Siegismund & Volkening;[]
904;Gustav Knoth;[]
905;Carl Neumeyer;[]
906;Carl Gerfin Nachf.;[]
907;Oscar Berckhauer;[]
908;Eduard Thomas;[]
909;Camilla Milde;[]
910;Karl Baedeker;['1128915669']
911;H. Wagner & E. Debes;[]
912;H. Wagner & E. Debes;[]
913;Alfred Würzner's Antiquarische Buchhandlung;[]
914;G. Wittrin (Wittrin & Weise);[]
915;Adolf Roegner;['1073010708']
916;Johann Baptist Wiedenmann;[]
917;C. O. Hessel;[]
918;Breitkopf & Härtel;[]
919;Breitkopf & Härtel;[]
920;Breitkopf & Härtel;[]
921;Breitkopf & Härtel;[]
922;Breitkopf & Härtel;[]
923;Franz Bárd & Bruder;[]
924;Georg Degen;[]
925;Rhythmus-Verlag M. Józefowicz;[]
926;Wilh. Haaring;[]
927;H. Fikentscher;['5539708-6']
928;G. Wolf;[]
929;Sinsel & Co. G.m.b.H.;[]
930;Sinsel & Co. G.m.b.H.;[]
931;Sinsel & Co. G.m.b.H.;[]
932;Sinsel & Co. G.m.b.H.;[]
933;Sinsel & Co. G.m.b.H.;[]
934;Theodor Leibing;[]
935;Arwed Strauch;['5282540-1']
936;J. R. Herzog;[]
937;H. Sperling;['5223300-5', '1072958503', '1072954184']
938;A. Foerster's Verlag;['1072888823']
939;Alfred Hasemann;[]
940;E. Lucius;['1072989921', '1137294191']
941;Otto Zimmermann;[]
942;Arthur Heber;['1072930188']
943;R. Krone;[]
944;Elbefelder Papierfabrik Aktien-Gesellschaft Berlin-Zehlendorf u. Elberfeld;[]
945;Fritzsche & Schmidt;[]
946;Reform-Verlag & Theatergeschäftsbüro Karl Schürer gen. Engelschmidt;[]
947;W. Backhaus;[]
948;Verlag A. Hasert & Co.;[]
949;Gustav Uhl;[]
950;Otto & Co.;[]
951;Hans Hedewigs Nachfolger, Curt Ronniger;[]
952;Weller & Winkler;[]
953;Pontow & Co., Verlagsgesellschaft m.b.H.;[]
954;Oscar Röder Antiquariat;[]
955;Jahn & Schreyer;[]
956;Max Brauer;[]
957;Otto Schreyer;[]
958;Otto Schreyer;[]
959;Rudolf Katzsch;[]
960;H. Sommer;[]
961;Gustav Meyer;[]
962;S. Appel;[]
963;Arthur Hesse;[]
964;Lauterbach & Kuhn;[]
965;Alex. Dennhardt;[]
966;A. Pinkert;[]
967;Ignaz Tengers Verlag;[]
968;Paul Götze;[]
969;Paul Götze;[]
970;Paul Götze;[]
971;Sturm & Koppe (A. Dennhardt);[]
972;Gustav Ullrich;[]
973;Verlag & Expedition der Deutschen Schirmmacher-Zeitung (Wilhelm Meyer);[]
974;Max Hoffmann;['1072924544']
975;Max Hoffmann;['1072924544']
976;B. G. Teubner;[]
977;B. G. Teubner;[]
978;Theodor Hofmann;['1072881357', '1072991101']
979;F. D. Schröder;[]
980;Graul & Pöhl;[]
981;Im. Tr. Wöller;[]
982;Otto Borggold;['1072952831']
983;Robert Heinrich;[]
984;D. Weinberg;[]
985;Ernst Finking d. J.;[]
986;"Buchhandlung der ""Kaufmännischen Sozial-Reform"" Otto Krüger";[]
987;Karl Thieme, Buch- und Akzidenzdruckerei;[]
988;Bernhard Krauel;[]
989;"Verlagsanstalt ""Humanität"" G.m.b.H. in Liqu.";[]
990;Albert Kumbruch;['1073062287']
991;Volks- und Jugendschriften-Verlag G.m.b.H.;[]
992;O. Gracklauer;['107290831X']
993;Pohstsche Buchdruckerei;[]
994;Urban & Co.;[]
995;Urban & Co.;[]
996;Urban & Co.;[]
997;Romberger & Koch (vorm. A. L. Knorr);[]
998;H. Hurwitz Nachf.;[]
999;Fr. Portius;['1050415264', '1073038939']
1000;Albin Stein;['1067018115']
1001;C. A. Koch's Verlagsbuchhandlung (H. Ehlers);[]
1002;Rudolph Hartmann;['1072982161']
1003;Expedition d. Unterrichts-Werke nach der Methode Toussaint-Langenscheidt (Prof. G. Langenscheidt);[]
1004;Albert Platzek;['1073077675']
1005;Franz Bauer Nachf.;[]
1006;Franz Bauer Nachf.;[]
1007;Wilhelm Schulze;[]
1008;W. Grasmay Nachf.;[]
1009;Bruno Grohmann;[]
1010;Richard Krieg;[]
1011;G. Ricordi & Co.;[]
1012;Verlag Ignatz Rippel;[]
1013;Julius Brandstätter;[]
1014;Richard Hahn (H. Otto);[]
1015;Wilh. Schurath, G.m.b.H.;[]
1016;Wilh. Schurath, G.m.b.H.;[]
1017;Turm-Verlag Markert & Co.;[]
1018;Dürr'sche Buchhandlung;['1072971615', '5129555-6', '1090739389', '1073019535']
1019;Otto Harrassowitz;['506980-4']
1020;C. Grumbach;['10188573-8', '1072957450', '1129708209']
1021;C. Grumbach;['10188573-8', '1072957450', '1129708209']
1022;"Verlagsanstalt ""Pallas"" Ed. Beyer";[]
1023;Nils Pehrsson;['1072949733']
1024;August Neumann's Verlag, Fr. Lucas;[]
1025;E. L. Kasprowicz;[]
1026;F. A. Brockhaus' Sort. und Antiq.;[]
1027;Brockhaus & Pehrsson;[]
1028;F. A. Brockhaus;[]
1029;F. A. Brockhaus;[]
1030;F. A. Brockhaus;[]
1031;F. A. Brockhaus;[]
1032;F. A. Brockhaus;[]
1033;F. A. Brockhaus;[]
1034;J. Schroedter's Buchdruckerei G.m.b.H., Abt. A. Oehmigkes Verlag, Moritz Geißler Nachf.;[]
1035;Max Brockhaus;['1072950154', '1037902726']
1036;R. Streller;['1072977672']
1037;Mayer & Müller;[]
1038;Leipz. Export- u. Verlagsges. m.b.H. in Liqu.;[]
1039;Gressner & Schramm;[]
1040;C. Schröter;['1134978103']
1041;C. Schröter;['1134978103']
1042;Rösch & Winter;[]
1043;"Telephon-Adreßbuch in Branchen- u. Nummern-Anordnung ... ""Telad"" Verlag C. Schröter";[]
1044;Berger & Wirth;[]
1045;Verlag des Universal-Briefmarken-Albums;[]
1046;Berger & Wirth;[]
1047;Emil Stock's Verlag;[]
1048;Camillo Schneider;[]
1049;Maximilian Wendel;[]
1050;Friedrich W. Trotzky;[]
1051;G. Senf Nachf.;[]
1052;Friedrich Rothbarth;['1073011933', '1073011941']
1053;C. E. M. Pfeffer;[]
1054;Leipziger Verlag, G.m.b.H.;[]
1055;Lange & Meuche;[]
1056;Jaeger-Versand, Paul Meuche;[]
1057;Ewald & Co. Nachfolger;[]
1058;H. R. Dohrn;[]
1059;Fritz Casper & Co.;[]
1060;Fikentscher;['1073069702', '5539708-6']
1061;Georg H. Wigand'sche Verlagsbuchhandlung;[]
1062;Jaegersche Verlags-Buch- u. Landkartenhandlung, E. C. Koenitzer;[]
1063;Dr. Seele & Co.;[]
1064;Georg Merseburger;['1122235658']
1065;Carl Merseburger;['5547585-1']
1066;G. Hoske;['1072958384']
1067;"Verlags-Anstalt ""Merkur"" Julius Süß jun.";[]
1068;Eduard Schmidt;['1072977648']
1069;Ernst Rust;[]
1070;Max Sängewald;['1072956950']
1071;Friedr. Wolfrum & Co.;[]
1072;Otto Lenz;['1073058778']
1073;Robert Hoffmann G.m.b.H.;[]
1074;B. Rosenheinrich Nachf.;[]
1075;Gustav Richter, Theaterbuchhandlung und Musik-Verlag;[]
1076;Gustav Richter Theaterverlag;[]
1077;Kiepert'sche Verlagsbuchhandlung;[]
1078;Fr. Förster;['1072977605']
1079;Max Busch (Inh. Julius Kößling);[]
1080;Wilhelm Weis;[]
1081;Jul. Heinr. Zimmermann;[]
1082;Chr. Hostmann-Steinbergsche Farbenfabriken G.m.b.H.;[]
1083;Georg Thieme;['1065102798', '4760758-0', '3035439-0', '32392-5']
1084;Friedrich Kanitzki;[]
1085;Wilhelm Mondon;[]
1086;O. Renner;[]
1087;A. H. Payne;[]
1088;Gebr. Wittenbecher;[]
1089;Emil Binder;[]
1090;Edwin Bormann's Selbstverlag;['1073072320']
1091;Schroeder, Spieß & Co., G.m.b.H.;[]
1092;A. Elgert;[]
1093;Günther & Müller;[]
1094;J. A. Sigall;[]
1095;Max Schmidt;[]
1096;Max Schmidt;[]
1097;Max Schmidt;[]
1098;M. Oelsner;['5523399-5']
1099;M. Oelsner;['5523399-5']
1100;M. Oelsner;['5523399-5']
1101;C. Ludwig Kühne;[]
1102;F. Bauer;[]
1103;Johannes Schubert;[]
1104;Leipziger Bücher-Versandhaus;['1072961970']
1105;"Verlag ""Für's prakt. Leben"", Gebr. Rast";[]
1106;J. J. Weber;[]
1107;J. J. Weber;[]
1108;J. J. Weber;[]
1109;J. J. Weber;[]
1110;J. J. Weber;[]
1111;J. J. Weber;[]
1112;Otto Zöphel;[]
1113;Osc. Ramm, Inh. Curt Ramm;[]
1114;F. A. Körner;[]
1115;F. A. Körner;[]
1116;Carl Opitz;[]
1117;"Expedition der Zeitschrift ""Die Feuerspritze"", F. A. Körner";[]
1118;Benno Konegen Verlag;['5332798-6']
1119;Wilhelm Ehrenberg;[]
1120;Max Zeidler;[]
1121;Verlags-Magazin (R. F. Bierey);[]
1122;Fritz Bierey, Verlag;[]
1123;G. Pönicke's Schulbuchhandlung;['1073004317']
1124;Otto Asperger;[]
1125;"Haufe & Morgenstern, Buchdruckerei ""Merkur""";[]
1126;Oswald Seiler;[]
1127;Seiler & Co.;[]
1128;Ernst Wunderlich;['1058047205', '1058047299']
1129;C. F. Winter'sche Verlagsbuchhandlung;[]
1130;Franz Dahlinger;[]
1131;C. G. Naumann Verlag;[]
1132;Alfred Kröner Verlag;['1072969270', '5549715-9']
1133;Robert Halecker;[]
1134;Verlag des Deutschen Nationalbundes Georg Schubert;[]
1135;Marie Kapphahn;[]
1136;Hans Friedrich;[]
1137;Eduard Avenarius;['5168795-1']
1138;Voss' Sortiment (G. W. Sorgenfrey);[]
1139;H. Haessel Verlag;['5324207-5']
1140;H. Haessel Comm. Gesch.;[]
1141;Expedition des Meßcatalogs;[]
1142;Gebrüder Borntraeger;['260225-8', '215543-6']
1143;Buchhandlung des Vereinshauses, Paul Eger;['1072962446']
1144;Simmel & Co.;[]
1145;Georg Pruggmayer;[]
1146;X. Pflugmacher;['1073031365']
1147;Max Spohr;['4688272-8']
1148;B. A. Dathe;[]
1149;F. H. Eilenberger;[]
1150;Otto Weber;['1072964600']
1151;Gustav Schacht Verlag G.m.b.H.;[]
1152;Robert Hahn;['1072907984', '1072907909']
1153;Heinrich Blömer's Buchhandlung;[]
1154;Moritz Schäfer;['1029798885']
1155;Radelli & Hille;[]
1156;Curt Kunath;[]
1157;F. J. Schirmer & Co.;[]
1158;E. A. Enders;[]
1159;Rudolf Morgeneyer;[]
1160;E. H. Friedrich Reisner;[]
1161;J. J. Arnd;[]
1162;Rudolf Arnold;['1072901927', '1065102208']
1163;Rudolf Arnold;['1072901927', '1065102208']
1164;Friedrich Schneider;['1072977303', '1073017451']
1165;Ferdinand Hirt & Sohn;[]
1166;Hellmuth Wollermann, Verlagsbuchhandlung;[]
1167;Hubert Welter;[]
1168;Ed. Wartig;['107302010X']
1169;International News Company (Peppmüller & Co.);[]
1170;Phönix-Verlag Carl Siwinna;[]
1171;Immanuel Müller;['1048605418', '1072996189']
1172;"Musikverlag ""Hölle"" L. & S. Natzler";[]
1173;Literarisches Institut;['1072942720']
1174;N. Kymmel's Verlag;[]
1175;Alexander Köhler;[]
1176;Friedrich Fleischer;['1073028712', '1072898071', '1072898101', '1072898055', '1072898063', '1072897792', '1072897970', '1073006395', '1072981548', '1024867099']
1177;Carl Friedrich Fleischer;['1072897792', '1072897970']
1178;B. Elischer Nachfolger;['1072975297', '1072969017']
1179;Asgard-Verlag, Dr. Paul Krische;[]
1180;Bühnenvertrieb dramatischer und musikalischer Werke Hans Bruck;[]
1181;Adolf Robitschek;['1073010465', '1087333741']
1182;Expedition der Geflügel-Börse (Richard Freese);[]
1183;N. Kymmel's Buchhandlung;[]
1184;K. A. Halle;[]
1185;G. Fr. Wanner;[]
1186;"Verlag ""Gesundes Leben"" Dr. Hugo Vollrath";[]
1187;Alfred Meister;['1156695732']
1188;J. W. Kox;[]
1189;Kräuter & Mützenich;[]
1190;Theodor Sebald;[]
1191;Theosophisches Verlagshaus Dr. Hugo Vollrath;[]
1192;Theosophische Centralbuchhandlung Dr. Hugo Vollrath;[]
1193;Centrale f. Reformlitteratur Dr. Hugo Vollrath;[]
1194;Buddhistischer Verlag Dr. Hugo Vollrath;[]
1195;Wild & Laue;[]
1196;Schulze & Niemann;[]
1197;Ludwig Julius Heymann, Geographischer Verlag;[]
1198;Franz Moeser Nachf.;[]
1199;Grethlein & Co., G.m.b.H.;[]
1200;Verlag der Allgemeinen Buchhändlerzeitung Walther Seyffert;[]
1201;Emil Lehmann;[]
1202;Walter & Co. Nachf.;[]
1203;Baumgärtner's Buchhandlung;['5350738-1']
1204;Modern-literarisches Bureau, Direktor Gustav Fritzsche;[]
1205;Fritzsche, Gustav, Direktor, Modernliterarisches Bureau;[]
1206;A. Quaas;[]
1207;Julius Werner Verlag;[]
1208;Bernhard Friede;['1073056961']
1209;Baudisch, Wilhelm;[]
1210;Johannes v. Schalscha-Ehrenfeld;[]
1211;Verlag Otto Beyer;['5171409-7']
1212;"Verlag der ""Deutschen Modenzeitung"", Aug. Polich";[]
1213;Gustav Fock, Buchhandlung, G.m.b.H.;[]
1214;Gustav Fock, Buchhandlung, G.m.b.H.;[]
1215;Martin Boas;[]
1216;W. Böttiger;[]
1217;Adolf Mahn's Verlag;['1073058077']
1218;Max Zieger;[]
1219;Max Zieger;[]
1220;Fritz Schuberth jr.;[]
1221;J. H. Robolsky;[]
1222;J. H. Robolsky;[]
1223;Mazdaznan-Verlag u. Versandhaus David Ammann;[]
1224;Meister & Schirmer;[]
1225;E. Mönch;[]
1226;Jos. Aibl Verlag, G.m.b.H.;[]
1227;Carl Hofbauer;[]
1228;Friedrich Hofmeister;['1072925419', '2070980-8', '1065431937', '16137343-4', '4071476-7', '1073004767']
1229;Rózsavölgyi & Comp;[]
1230;Universal-Edition A.-G.;[]
1231;Josef Weinberger;['1072965348']
1232;Otto Maier, G.m.b.H.;[]
1233;Otto Maier, G.m.b.H.;[]
1234;C. G. Naumann, G.m.b.H.;[]
1235;C. G. Naumann, G.m.b.H.;[]
1236;Herm. Reling;[]
1237;R. Giegler's Sortiment;['1072903830']
1238;G. Kreysing;[]
1239;A. Zahn;[]
1240;Schneider & Co.;[]
1241;Edm. Obst;['1073049531']
1242;Emil Lange & v. d. Wehl;[]
1243;Julius Zeitler;['5331638-1']
1244;A. van der Broecke;[]
1245;Der Tempel Verlag G.m.b.H.;[]
1246;Carl Ernst Poeschel;['2006816-5', '1073004414']
1247;Poeschel & Trepte;[]
1248;Poeschel & Trepte;[]
1249;C. B. Griesbach;[]
1250;E. A. Funke;[]
1251;E. A. Funke;[]
1252;A. Wienbrack;['107298024X']
1253;H. Keßler;['1072955873']
1254;Robert Friese;['107292658X', '1072981165']
1255;Oskar Dittmar's Verlagsanstalt;[]
1256;Georg Wigand;['5303738-8']
1257;H. G. Wallmann;[]
1258;Gideon Karl Sarasin;[]
1259;Edward Erwin Meyer;[]
1260;Landwirthschaftliche Schulbuchhandlung, Karl Scholtze (Theophil Biller);[]
1261;Otto Klemm;['1073033147', '1072983451', '1072907917']
1262;Generalvertrieb für vaterländische Geschichtsliteratur Ferdinad Lomnitz;[]
1263;Deutscher Kinderfreund, G.m.b.H.;[]
1264;Biologischer Verlag Heinrich Wallmann;[]
1265;Adolf Böhme & Co.;[]
1266;Julius Mäser, Buchdruckerei und Verlagshandlung;[]
1267;Julius Mäser, Buchdruckerei und Verlagshandlung;[]
1268;Ludwig Ewest;[]
1269;Technikum für Buchdrucker;['15077-0', '10179129-X']
1270;Carl Schönert;['107298816X']
1271;Carl Schönert;['107298816X']
1272;Carl Schönert;['107298816X']
1273;Carl Schönert;['107298816X']
1274;Verlag des graphischen Beobachters, Siegbert Schnurpfeil;[]
1275;Siegbert Schnurpfeil, Verlag;[]
1276;R. Schraepler;[]
1277;Jaroslav Ferda;['107309040X']
1278;Philipp Wießler;[]
1279;Kühn & Richter;[]
1280;Rohland & Paul;[]
1281;Rohland & Paul;[]
1282;R. Langendorf;[]
1283;R. Guthe;[]
1284;R. Guthe;[]
1285;Alfred Sorms Nachf. Willy Krötzsch;[]
1286;Julius Hobeda;['1072923580']
1287;Richard Hamann;[]
1288;Verlag für Literatur, Kunst & Musik, Hans Volger;[]
1289;Osc. Graneß;[]
1290;Karl Linke;[]
1291;Ernst Kamprath Verlag;[]
1292;Ferdinand Bär;['1072958732']
1293;Ferdinand Bär;['1072958732']
1294;E. Krüger;[]
1295;Rudolph Becker;['1073083357']
1296;Rudolph Becker;['1073083357']
1297;Kuchenmüllers Verlag G.m.b.H.;[]
1298;Otto Holtze's Nachfolger;['1072983583', '3058543-0']
1299;Friedrich Brandstetter;['3058525-9', '6145841-7']
1300;Ignaz M. Goldblatt;[]
1301;H. Reinhold Engel;[]
1302;Heinrich Schmidt & Carl Günther;[]
1303;Birckner & v. d. Becke;[]
1304;Rudolf Dietrich;[]
1305;Ernst Schreiber;[]
1306;Weinrich & Co.;[]
1307;A. Th. Engelhardt;[]
1308;Franz Radestock;[]
1309;A. Helke;[]
1310;Schäfer & Schönfelder;[]
1311;Max Reinhold;[]
1312;Deutsche Esperanto-Buchhandlung;['1036301605']
1313;Hausen & Co.;[]
1314;Chr. G. Tienken, Verlagsbuchhandlung;[]
1315;Otto Nemnich.;[]
1316;National-Verlag Alfred Höhndorf;[]
1317;August Lax;[]
1318;L. A. Kittler;[]
1319;R. Hornig;['1073074889']
1320;A. Haase;['16195951-9']
1321;Bonneß & Hachfeld, Verlagsbuchhandlung;[]
1322;Th. G. Fisher & Co.;[]
1323;Emil Wever;[]
1324;Karl Vahle;[]
1325;O. Uhlemann;[]
1326;Paul Sitte;[]
1327;F. Ernst Steiger;[]
1328;Emil Gröber;[]
1329;Louis Winckelmann;[]
1330;Albert Warnecke;['1072990385']
1331;List & Francke;[]
1332;Bernhard Hermann;['1073062902', '6508157-2']
1333;Wilhelm Diebener;['1072962527']
1334;H. Gedan;[]
1335;Richard Grunert;[]
1336;G. E. Schulze;[]
1337;Eduard Wohlleben;[]
1338;Adolf Bruno Schaefer;[]
1339;W. Nietmann's Verlag;[]
1340;Amthor'sche Verlagsbuchhandlung;['107297715X', '1072968037', '1072970430', '1072975289']
1341;Rudolf Hagen;[]
1342;Sieler & Vogel;[]
1343;Sieler & Vogel;[]
1344;Sieler & Vogel;[]
1345;E. Laris Nachf.;[]
1346;Sieler & Vogel;[]
1347;Otto Aug. Schulz Verlag, G. Schiller;[]
1348;J. M. Gebhardt's Verlag;[]
1349;E. Ungleich;['1030012091', '1072952408']
1350;N. Simrock, G.m.b.H.;[]
1351;Gebr. Eißler;[]
1352;Gebr. Eißler;[]
1353;A. Wehner;[]
1354;Theodor Thomas;['1073020142', '5168825-6']
1355;Martin Schneider & Co.;[]
1356;Lotus-Verlag, Ella Thomaß;[]
1357;Gustav Gräbner;['1072895668', '1073059952']
1358;Rosa Gerhardt;[]
1359;Frauenverlag Gabriele Dorn von Lieber;[]
1360;Flinsberg & Lorenz;[]
1361;M. Zille;[]
1362;Uhlands technischer Verlag, Otto Politzky;['1073079902']
1363;Th. Schröter;['1073018571', '1073018563', '1072858355', '1072979691']
1364;Modernes Verlagsbureau, Curt Wigand;[]
1365;Lipsius & Tischer;[]
1366;Eduard Kummer;['5165663-2']
1367;Th. Grieben's Verlag (L. Fernau);[]
1368;L. Fernau;['1073076024', '1072910071', '5275810-2', '1072977443']
1369;Gustav Engel;['1072892928']
1370;F. A. Berger;[]
1371;Richard Bauer;['1072942739']
1372;Abel & Müller;[]
1373;Zipser & König;[]
1374;Wilhelm Heims;['10083381-0', '16006394-2']
1375;Rob. Forberg;['10001743-5', '4559046-1']
1376;Rob. Forberg;['10001743-5', '4559046-1']
1377;P. Jurgenson;['1073021548']
1378;Th. Rättig;['1072950219', '1072953153']
1379;Böttcher & Bongartz;[]
1380;"Verlag der Literaturwerke ""Minerva"", Böttcher & Bongatz";[]
1381;Th. Knaur;['1072945983', '16335855-2', '1134997310']
1382;Woldemar Koehler'sche Verlagsbuchhandlung;[]
1383;Eduard Volkening;['10003050-6']
1384;Horstmann, E.;[]
