Id;Firma;idn
70;Theosophische Zentralbuchhdlg Hans Fändrich;[]
71;Theosophische Buchhandlung Heinrich Tränker;[]
72;Akadem. Antiquariat Heinrich Tränker;[]
73;Gustav Pritz & Co.;[]
74;E. Biehl;[]
75;Kunst-Anstalt von H. Gustav Brinckmann;[]
76;Franz Richter;['10357672-1']
77;W. Platzmann;[]
78;Friedrich H. Rückbrodt;[]
79;L. A. Klepzig;[]
80;Gustav Bertram;[]
81;Verlags- u. Versandhaus Wilhelm Kaiser;[]
82;Deutscher Reform-Verlag Otto Steiniger;[]
83;H. Burggraf;[]
84;Emil Enke;[]
85;J. F. Koesters Verlagsbüro;[]
86;Georg Bernhardt;['16167952-3']
87;P. Träger;[]
88;P. Träger;[]
89;Ernst Marré, Orient-Verlag;[]
90;Emil Zehl;[]
91;H. Hartung & Sohn;[]
92;Rudolf Haupt, Buchhandlung & Antiquariat;[]
93;B. Engelmann;[]
94;Brückner & Niemann;[]
95;Brückner & Niemann;[]
96;Robert Lindner;[]
97;Robert Lindner;[]
98;Spamersche Buchbinderei;['10371029-2', '1072958449']
99;Spamersche Buchdruckerei;['10112884-8']
100;Spamersche Buchdruckerei;['10112884-8']
101;Julius Hager;['5559547-9', '16345933-2']
102;Verlag des Schwaneberger-Album Schaufuß & Stolpe G.m.b.H.;[]
103;Ernst Wiest Nachf., Verlagsbuchhandlung, G.m.b.H.;[]
104;Oswald Thomas Verlag;[]
105;Presseverlag Leopold J. Klotz;[]
106;Max Singer;[]
107;Duva Druckerei und Verlags-Anstalt G.m.b.H.;[]
108;Duva Druckerei und Verlags-Anstalt G.m.b.H.;[]
109;M. Sehrer;[]
110;Max Koch;['1032868406', '1032869127']
111;Paul John;['107302895X']
112;A. Müllers Druckerei;[]
113;August Pries;['5050701-1']
114;Georg Nitzke & Co.;[]
115;Wilhelm Opetz;['1059733021']
116;Max Prager;[]
117;Hermann Stöpel;[]
118;Otto Schmidt;[]
119;Otto Schmidt;[]
120;Otto Schmidt;[]
121;R. Donnerhack;[]
122;M. W. Kaufmann;[]
123;C. F. Gruner;[]
124;R. Gruner;[]
125;Ludwig Zimmermann, Verlag der Referenzbücher für die Textil-Industrie;[]
126;Friedrich Lindner;[]
127;Lincke'sche Leihbibliothek und Buchhandlung;['6059355-6']
128;Lincke'sche Leihbibliothek und Buchhandlung;['6059355-6']
129;R. Maeder;['107306297X']
130;Jansen & Schwedes;[]
131;K. Schirmer;[]
132;F. O. Pfeiffer;[]
133;Emil Künne;[]
134;Friedrich Rinkefeil;[]
135;Georg, Ferdinand;[]
136;Meta Oberläuter;[]
137;Verlag der Evangel. Luth. Mission;[]
138;Foerster & Einbrodt (vorm. Fr. Legel);[]
139;Paul List;['2017650-8']
140;List & von Bressensdorf;[]
141;G. Freytag, G.m.b.H.;[]
142;Hilmar Klasing, Verlagsbuchhandlung;['1072925044']
143;Georg Lang;['1072961695', '1072956748', '1043349537']
144;Wolff, Schwab & Co. G.m.b.H.;[]
145;Otto Wilhelm Barth Verlag;[]
146;Ed. Wartig's Verlag Ernst Hoppe;[]
147;Artur Giegler;[]
148;Freund & Wittig;[]
149;Herm. Beyer;['1072959925']
150;C. Bange;['4542704-5']
151;Paul Th. Steiner;[]
152;Jacobi & Quillet;[]
153;Wilhelm Fugmann;['1134997639']
154;Wilhelm Fugmann;['1134997639']
155;Wilhelm Fugmann;['1134997639']
156;M. Schmitz;[]
157;Karnahl & Co.;[]
158;Wilhelm Fugmann;['1134997639']
159;Wilhelm Fugmann;['1134997639']
160;Wilhelm Fugmann;['1134997639']
161;Berta Buschmann;[]
162;Carl Bach;[]
163;Leipziger Buchbinderei-Actiengesellschaft vorm. Gustav Fritzsche;[]
164;Buchverlag fürs Deutsche Haus Georg Hösemann;[]
165;Körner & Sohn;[]
166;Körner & Sohn;[]
167;Robert Meißner;['1072992736']
168;Rudolf Loës;['1073059669']
169;Rudolf Loës;['1073059669']
170;G. Strübig's Verlag;[]
171;Max Altmann;['103705394X']
172;G. Oscar Liebler;[]
173;Paul Stiehl;['1072943255']
174;O. Wetzig;[]
175;A. Zschorn;[]
176;Leo Jolowicz;[]
177;Albert Bernhard Schön;[]
178;Oskar Heller;[]
179;Hermann Arnold;['1073066347']
180;Alexander Edelmann (Universitäts-Buchhändler u. Universitäts-Buchdrucker);[]
181;Alexander Edelmann (Universitäts-Buchhändler u. Universitäts-Buchdrucker);[]
182;Aug. Kürth;[]
183;M. Heinsius Nachf.;[]
184;Hachmeister & Thal;[]
185;E. W. Fritzsch;[]
186;E. W. Fritzsch;[]
187;C. F. W. Siegel's Musikalienhandlung (R. Linnemann);[]
188;Leopold Voß;['1072896257', '1225882-9']
189;Quandt & Händel;[]
190;Ernst Günthers Verlag;[]
191;Ambr. Abel;['1072982315', '16005153-8']
192;Johann Ambrosius Barth;['2050057-9', '4004574-2', '1086218418']
193;Max Höfler;[]
194;"Verlagsanstalt ""Saxonia-West"" Anton Tolksdorf";[]
195;Veit & Comp.;[]
196;F. C. W. Vogel;[]
197;Bernhard Tauchnitz;['1047094142', '1073060217', '1072925893', '4240620-1', '31021-9']
198;Oscar Brandstetter;['5207313-0', '1072957752']
199;Oscar Brandstetter;['5207313-0', '1072957752']
200;Oscar Brandstetter;['5207313-0', '1072957752']
201;Oscar Brandstetter;['5207313-0', '1072957752']
202;Georg Reichardt Verlag;['1072924730']
203;Duncker & Humblot;[]
204;Paul Schimmelwitz;['107303092X']
205;Deutscher Herold Verlagsgesellschaft m.b.H.;[]
206;Margueriten-Verlag Emmy Feine;[]
207;Margueriten-Verlag Emmy Feine;[]
208;Hermann Christel;[]
209;Hans-Adler-Verlag;[]
210;Alexander Beyer;[]
211;Wilh. Oscar Günther;[]
212;Verlag des Theosophischen Wegweisers, Klara Frenzel;[]
213;Vedanta-Verlag, Klara Frenzel;[]
214;Verlag für Lebensreform, Klara Frenzel;[]
215;Buchhandlung des Verbandes der Aerzte Deutschlands zur Wahrung ihrer wirtschaftlichen Interessen;[]
216;Oskar Schack, Antiquariat u. Buchhandlung;[]
217;Carl Neßler;[]
218;O. Hähnel;[]
219;Dr. Trenkler & Co.;[]
220;Dr. Trenkler & Co.;[]
221;Ernst Keil's Nachf. (August Scherl) G.m.b.H.;[]
222;Ernst Keil's Nachf. (August Scherl) G.m.b.H.;[]
223;Ernst Keil's Nachf. (August Scherl) G.m.b.H.;[]
224;Ernst Keil's Nachf. (August Scherl) G.m.b.H.;[]
225;A. Waldschmidt;[]
226;E. Weber;[]
227;Bruno Zechel;['10347032-3']
228;Bruno Zechel;['10347032-3']
229;Max Hesse's Verlag;['5296021-3']
230;Böhnisch, Georg;[]
231;Hesse & Becker Verlag;[]
232;Hesse & Becker;[]
233;Hesse & Becker;[]
234;Arnoldische Buchhandlung;['1048538141', '16051016-8']
